"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1676","тест 10","","Wed May 14 21:32:21 GMT 2025","failed","Wed May 14 21:32:23 GMT 2025","","tests.OtherTests","tests.OtherTests","test10"
"","32809","тест 9","","Wed May 14 21:31:48 GMT 2025","failed","Wed May 14 21:32:21 GMT 2025","","tests.OtherTests","tests.OtherTests","test9"
"","1727","тест 3","","Wed May 14 21:32:21 GMT 2025","passed","Wed May 14 21:32:23 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test3"
"","1683","тест 8","","Wed May 14 21:32:21 GMT 2025","passed","Wed May 14 21:32:23 GMT 2025","","tests.OtherTests","tests.OtherTests","test8"
"","1735","тест 4","","Wed May 14 21:32:21 GMT 2025","failed","Wed May 14 21:32:23 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test4"
"","1053","тест 7","","Wed May 14 21:32:23 GMT 2025","passed","Wed May 14 21:32:24 GMT 2025","","tests.OtherTests","tests.OtherTests","test7"
"","32808","тест 2","","Wed May 14 21:31:48 GMT 2025","passed","Wed May 14 21:32:21 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test2"
"","32810","тест 5","","Wed May 14 21:31:48 GMT 2025","failed","Wed May 14 21:32:21 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test5"
"","1055","тест 6","","Wed May 14 21:32:23 GMT 2025","passed","Wed May 14 21:32:24 GMT 2025","","tests.OtherTests","tests.OtherTests","test6"
"","32807","тест 1","","Wed May 14 21:31:48 GMT 2025","passed","Wed May 14 21:32:21 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test1"
